10202	10075	887.584037
10200	10026	887.518728
10086	9845	887.484190
10115	9364	887.399087
9845	9717	887.134067
9675	9228	887.029591
10161	10075	886.945712
10075	9511	886.724947
9372	9149	886.406212
9310	9276	886.343607
9511	9310	886.245898
9038	8440	885.962765
9104	8772	885.913009
9022	8440	885.902052
9061	8772	885.837428
9146	8772	885.820831
9076	8440	885.792057
9053	8440	885.774844
9159	9072	885.738821
8981	8389	885.446025
8827	8148	885.175191
8791	7770	884.973239
8406	8212	884.565775
9039	8440	885.715138
8245	7770	884.486710
2088	1898	866.930474
8440	8148	884.338371
7905	7219	884.286095
8212	7912	884.235510
7761	7112	884.075017
2507	2279	868.845291
8065	7631	883.899223
8170	7219	883.884168
10454	10202	887.390773
6484	6056	880.281167
8072	7435	883.745865
7712	7513	883.706968
8197	7631	883.599062
1870	1606	865.068953
7428	6945	883.130593
9928	9442	886.336057
7149	6846	882.987266
7770	7631	882.867980
7112	6812	882.608807
7763	7219	883.382173
6969	6664	882.361704
5358	4926	878.319824
6946	6518	882.204497
9724	9228	886.615273
6945	6812	881.948231
2491	2279	869.066935
7255	7012	883.960272
6664	6518	881.948142
6819	6518	881.811273
6740	6518	881.656210
6639	6298	881.406814
7471	6945	883.427537
6683	6484	881.381364
842	752	851.901893
6400	6171	881.034784
1100	1064	856.295477
6658	6484	880.664557
10026	9364	887.430644
6056	6026	879.820486
6453	6110	880.563593
6171	6081	880.540677
4890	4646	877.051195
6081	5553	879.983850
6110	6026	879.983247
7793	7513	883.497010
6020	5321	879.906003
7435	6945	882.827221
5907	5553	879.803192
6026	5553	879.260056
5575	5437	879.184165
5592	4926	878.926824
7141	7002	882.939965
4759	4390	877.265837
5553	5426	878.663598
253	238	844.347605
7002	6518	882.121788
5426	4926	878.396999
9958	9372	887.397277
5194	4819	878.372220
5092	4819	878.233261
4923	4724	877.764665
4724	4390	877.683822
6789	6639	881.998773
5016	4646	878.379668
7201	6812	882.463134
4819	4646	877.591066
4749	4390	877.330929
4616	4221	877.137791
4817	4390	876.839145
2230	2011	868.233551
4612	4221	876.675879
7650	7012	883.774861
6862	6699	881.139886
4498	3865	876.299259
9219	9146	885.777408
1279	1247	859.991945
7631	7219	882.831977
4085	3783	876.141841
503	424	848.394301
4076	3812	875.687522
4148	3891	875.663236
9228	9104	886.020329
6846	6518	882.351097
9276	9159	885.549374
542	513	848.335308
3891	3581	875.648353
10272	10115	887.518255
6699	6658	880.708845
3920	3547	875.517740
3812	3727	875.106621
5797	5321	879.038295
4221	3865	875.517040
3727	3377	874.417030
4918	4724	877.908686
8500	7770	884.993313
3736	3581	875.354039
4152	3783	875.097101
7912	7219	883.881235
1560	1279	862.428386
4390	4221	876.054051
1611	1560	863.300368
2987	2883	871.689097
8148	7770	883.679805
3384	3116	873.431142
3581	3377	874.065150
3420	3116	873.571536
3377	3351	873.187214
2220	2088	867.932324
3411	3157	872.880726
752	542	850.816817
3116	2987	872.713085
7535	6945	883.188521
3168	2883	871.960069
6812	6740	881.783859
6418	6172	880.860826
2481	2084	868.840855
2084	2011	867.794716
3069	2883	872.043089
6518	6418	880.967954
1172	1137	859.395744
3157	2972	872.106712
4745	4390	878.095183
2972	2949	871.721043
9924	9228	887.099422
4366	3865	876.353501
1137	1100	857.873368
6298	6056	880.800208
2161	2011	867.011402
10492	10075	887.853933
2949	2785	871.556573
5321	5066	877.809017
3351	3157	872.723840
2866	2785	870.842174
8104	7435	883.871728
7513	6945	883.032628
2785	2574	870.650620
9136	9038	886.308515
2784	2574	870.413509
1938	1874	865.518764
2726	2507	870.152996
2750	2574	869.636167
5244	4819	878.127281
3865	3801	874.639672
7023	6819	882.705169
513	424	847.700401
1704	1600	863.834763
3477	3157	873.995457
7012	6862	881.912771
9442	9219	886.250003
708	542	851.856021
6948	6664	882.281848
2883	2750	870.681588
1898	1870	864.991319
2095	1898	867.184145
5437	4890	878.389570
3757	3581	874.921464
238	188	842.831515
1223	1172	859.704309
2011	1898	866.457066
2461	2279	868.035155
424	348	845.848555
9149	8772	885.752406
1606	1560	863.222331
2279	2220	867.884470
8510	8197	884.420550
9364	9219	886.677636
630	503	849.179315
188	105	840.889959
4555	4076	877.133493
1600	1279	862.584537
5992	5553	879.836432
270	238	843.725309
1064	899	854.648130
1461	1223	860.974819
1874	1611	864.905025
4926	4890	877.274967
3547	3377	874.381828
3350	3069	873.505732
2574	2507	868.769519
1216	1137	860.249023
3801	3762	874.561228
4640	4390	877.144953
899	842	852.635169
105	80	838.500829
837	752	852.334040
5998	5553	880.014897
6037	5553	879.540102
876	752	852.915856
482	424	848.424087
2074	1898	866.932460
1181	1137	859.513297
9204	9039	886.195239
7219	6945	882.376074
3424	3116	873.731642
8772	8440	884.850950
38	0	819.883581
8126	8065	884.067850
8389	8148	883.736368
4646	4390	877.049921
9876	9511	887.119808
348	338	845.048328
1584	1279	863.212280
1255	1172	860.244578
80	38	825.716221
4571	4076	876.919721
3783	3547	874.793381
9131	8772	886.032160
0	-1	811.974406
5066	4890	877.215700
9072	8389	885.659018
338	270	844.800605
9717	9372	887.133335
3762	3377	874.302757
2210	2011	868.292588
6172	5907	880.326935
1247	1172	859.466898
